2018-10-14 18:41:03,996 [Worker-3: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-14 18:41:03,998 [Worker-3: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/terje/eclipse/java-oxygen/workspace/postgres/src/main/resources
2018-10-14 18:41:04,002 [Worker-3: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-10-14 18:41:04,003 [Worker-3: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/terje/eclipse/java-oxygen/workspace/postgres/src/test/resources
2018-11-15 22:21:42,869 [Worker-0: Loading available Gradle versions] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2018-11-16 23:58:45,933 [Worker-2: Loading available Gradle versions] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2018-11-16 23:58:53,984 [Worker-5: Launching App2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-16 23:58:53,989 [Worker-5: Launching App2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/terje/eclipse/java-oxygen/workspace/postgres/src/main/resources
2018-11-16 23:58:53,992 [Worker-5: Launching App2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-16 23:58:53,993 [Worker-5: Launching App2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/terje/eclipse/java-oxygen/workspace/postgres/src/test/resources
2018-11-29 15:22:06,846 [Worker-0: Loading available Gradle versions] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2018-11-29 15:23:04,755 [Worker-7: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-29 15:23:04,764 [Worker-7: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/terje/eclipse/java-oxygen/workspace/postgres/src/main/resources
2018-11-29 15:23:04,767 [Worker-7: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-29 15:23:04,768 [Worker-7: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/terje/eclipse/java-oxygen/workspace/postgres/src/test/resources
2018-11-29 15:23:17,582 [Worker-9: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-29 15:23:17,584 [Worker-9: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/terje/eclipse/java-oxygen/workspace/postgres/src/main/resources
2018-11-29 15:23:17,586 [Worker-9: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-11-29 15:23:17,587 [Worker-9: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/terje/eclipse/java-oxygen/workspace/postgres/src/test/resources
2018-12-06 22:29:51,481 [Worker-4: Loading available Gradle versions] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is out-of-date. Trying to update.
2018-12-06 22:31:00,671 [Worker-1: Loading available Gradle versions] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2018-12-06 22:31:30,441 [Worker-1: Launching App2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-06 22:31:30,449 [Worker-1: Launching App2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/terje/eclipse/java-oxygen/workspace/postgres/src/main/resources
2018-12-06 22:31:30,455 [Worker-1: Launching App2] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2018-12-06 22:31:30,455 [Worker-1: Launching App2] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/terje/eclipse/java-oxygen/workspace/postgres/src/test/resources
2019-01-16 22:58:40,281 [Worker-0: Loading available Gradle versions] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2019-01-16 22:58:42,937 [Worker-6: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-16 22:58:42,939 [Worker-6: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/terje/eclipse/java-oxygen/workspace/postgres/src/main/resources
2019-01-16 22:58:42,942 [Worker-6: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-16 22:58:42,943 [Worker-6: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/terje/eclipse/java-oxygen/workspace/postgres/src/test/resources
2019-01-16 23:03:49,816 [Worker-13: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-16 23:03:49,818 [Worker-13: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/terje/eclipse/java-oxygen/workspace/postgres/src/main/resources
2019-01-16 23:03:49,822 [Worker-13: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-16 23:03:49,823 [Worker-13: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/terje/eclipse/java-oxygen/workspace/postgres/src/test/resources
2019-01-16 23:03:58,302 [Worker-15: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-16 23:03:58,302 [Worker-15: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/terje/eclipse/java-oxygen/workspace/postgres/src/main/resources
2019-01-16 23:03:58,304 [Worker-15: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-16 23:03:58,305 [Worker-15: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/terje/eclipse/java-oxygen/workspace/postgres/src/test/resources
2019-01-17 01:08:21,661 [Worker-3: Loading available Gradle versions] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2019-01-17 01:08:25,050 [Worker-1: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-17 01:08:25,059 [Worker-1: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/terje/eclipse/java-oxygen/workspace/postgres/src/main/resources
2019-01-17 01:08:25,064 [Worker-1: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-17 01:08:25,065 [Worker-1: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/terje/eclipse/java-oxygen/workspace/postgres/src/test/resources
2019-01-17 01:11:40,808 [Worker-6: Loading available Gradle versions] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2019-01-17 01:11:44,738 [Worker-2: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-17 01:11:44,741 [Worker-2: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/terje/eclipse/java-oxygen/workspace/postgres/src/main/resources
2019-01-17 01:11:44,744 [Worker-2: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-17 01:11:44,746 [Worker-2: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/terje/eclipse/java-oxygen/workspace/postgres/src/test/resources
2019-01-17 13:18:27,065 [Worker-25: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-17 13:18:27,071 [Worker-25: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/terje/eclipse/java-oxygen/workspace/postgres/src/main/resources
2019-01-17 13:18:27,076 [Worker-25: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-17 13:18:27,077 [Worker-25: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/terje/eclipse/java-oxygen/workspace/postgres/src/test/resources
2019-01-17 15:38:04,572 [Worker-1: Loading available Gradle versions] INFO  c.g.t.t.d.PublishedGradleVersions - Gradle version information cache is up-to-date. Trying to read.
2019-01-17 15:38:04,612 [Worker-4: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-17 15:38:04,615 [Worker-4: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/terje/eclipse/java-oxygen/workspace/postgres/src/main/resources
2019-01-17 15:38:04,620 [Worker-4: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (UTF-8 actually) to copy filtered resources, i.e. build is platform dependent!
2019-01-17 15:38:04,621 [Worker-4: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory /home/terje/eclipse/java-oxygen/workspace/postgres/src/test/resources
